SalesID,ProductID,CustomerID,MarketID,SalesDate,Quantity,Revenue,KPIProfit
142,102,122,122,6/2/2023,8,3200,1600
143,103,123,123,6/3/2023,3,1800,900
144,104,124,124,6/4/2023,6,1500,600
145,105,125,125,6/5/2023,2,400,200
146,106,126,126,6/6/2023,9,900,450
147,107,127,127,6/7/2023,1,1000,400
148,108,128,128,6/8/2023,4,1600,800
149,109,129,129,6/9/2023,7,560,280
150,110,130,130,6/10/2023,5,1000,500
151,111,131,131,6/11/2023,3,1800,900
152,112,132,132,6/12/2023,8,3200,1600
153,113,133,133,6/13/2023,6,2400,1200
154,114,134,134,6/14/2023,1,200,100
155,115,135,135,6/15/2023,4,800,400
156,116,136,136,6/16/2023,7,1400,700
157,117,137,137,6/17/2023,2,400,200
158,118,138,138,6/18/2023,9,900,450
159,119,139,139,6/19/2023,5,1000,500
160,120,140,140,6/20/2023,3,600,300
161,121,141,141,6/21/2023,4,1600,800
162,122,142,142,6/22/2023,7,2800,1400
163,123,143,143,6/23/2023,2,800,400
164,124,144,144,6/24/2023,5,2000,1000
165,125,145,145,6/25/2023,9,3600,1800
166,126,146,146,6/26/2023,3,900,450
167,127,147,147,6/27/2023,6,1800,900
168,128,148,148,6/28/2023,1,400,200
169,129,149,149,6/29/2023,8,1600,800
170,130,150,150,6/30/2023,4,1600,800
171,131,151,151,7/1/2023,7,2800,1400
172,132,152,152,7/2/2023,2,800,400
173,133,153,153,7/3/2023,5,2000,1000
174,134,154,154,7/4/2023,9,3600,1800
175,135,155,155,7/5/2023,3,900,450
176,136,156,156,7/6/2023,6,1800,900
177,137,157,157,7/7/2023,1,400,200
178,138,158,158,7/8/2023,8,1600,800
179,139,159,159,7/9/2023,4,1600,800
180,140,160,160,7/10/2023,7,2800,1400
181,141,161,161,7/11/2023,3,1200,600
182,142,162,162,7/12/2023,6,2400,1200
183,143,163,163,7/13/2023,1,400,200
184,144,164,164,7/14/2023,7,2800,1400
185,145,165,165,7/15/2023,4,1600,800
186,146,166,166,7/16/2023,9,3600,1800
187,147,167,167,7/17/2023,2,800,400
188,148,168,168,7/18/2023,8,3200,1600
189,149,169,169,7/19/2023,5,2000,1000
190,150,170,170,7/20/2023,3,1200,600
191,151,171,171,7/21/2023,6,2400,1200
192,152,172,172,7/22/2023,1,400,200
193,153,173,173,7/23/2023,7,2800,1400
194,154,174,174,7/24/2023,4,1600,800
195,155,175,175,7/25/2023,9,3600,1800
196,156,176,176,7/26/2023,2,800,400
197,157,177,177,7/27/2023,8,3200,1600
198,158,178,178,7/28/2023,5,2000,1000
199,159,179,179,7/29/2023,3,1200,600
200,160,180,180,7/30/2023,6,2400,1200
